sa2_code21,sa2_name21,stop_count_zscore,school_area_1000_zscore,polling_count_zscore,total_businesses_zscore,total_median_zscore,school_enrollment_count_zscore,incidents_count_zscore,final_score_zsum
118021654,South Coogee,-1.160591565266271,-0.11825391093627843,-0.5021678081583577,-0.46067654016654647,0.0,-1.1098707346880337,-0.7356007990753681,0.016509672880655957
102021052,Summerland Point - Gwandalan,-1.0449354995851814,-0.1133188375044469,-0.5021678081583577,-0.6032887249754546,0.0,-1.191101731648982,-0.7356007990753681,0.014914222974700176
116021562,Acacia Gardens,-1.276247630947361,-0.11812619998959453,-0.7447955185768388,-0.6359706839941627,0.0,-0.8239798233059941,-0.6110418330092705,0.014626847567862247
127031601,Warwick Farm,-1.1027635324257261,-0.11573648698352396,-0.5021678081583577,-0.47969149814106754,-0.8664208710372711,-1.3082009610342453,0.0330191622593317,0.012843864460681647
127031730,Edmondson Park,-1.183722778402489,-0.11754378109127016,-0.7447955185768388,-0.29013613583256054,-0.7602488586080155,-1.008595725489968,-0.413570301441067,0.010786518472984575
128011605,Lilli Pilli - Port Hacking - Dolans Bay,-1.3109444506516879,-0.11773167180943589,-0.7447955185768388,-0.5236635884571476,0.0,-1.1932116276739417,-0.7356007990753681,0.009699369735921757
125011587,Regents Park,-0.9639762536084184,-0.11741407047925727,-0.5021678081583577,-0.3673844026040524,-0.701264407258429,-1.2733876766224104,-0.7295247519501926,0.009423137416643388
119041671,Wolli Creek,-1.5885190082863034,-0.11834620873057194,-0.98742322899532,-0.2847881789022265,-1.8219689829005716,0.0,0.11808382201178859,0.009166765105640842
123011702,Spring Farm,-1.183722778402489,-0.11725696530638924,-0.7447955185768388,-0.5397074592481498,-0.901811541847023,-0.725869658145368,-0.7356007990753681,0.007042219745095919
127011726,Cobbitty - Bringelly,-1.0680667127213992,-0.06606432378388073,-0.7447955185768388,-0.4891989771283281,-0.8546239807673538,-1.2311897561232164,-0.6596502100106745,0.005978497959923806
