sa2_code21,sa2_name21,stop_count_zscore,school_area_1000_zscore,polling_count_zscore,total_businesses_zscore,total_median_zscore,school_enrollment_count_zscore,incidents_count_zscore,final_score_zsum
117031644,Sydney (North) - Millers Point,0.3429372885878963,-0.11416397085825966,14.54075023778747,21.544383575847974,0.0,-1.1338180545713261,6.914142531520577,42.09423160831433
127011592,Badgerys Creek,-1.6116502214225212,16.562865851277436,-0.9874232289953199,-0.7910614349738503,0.0,0.0,-0.6961064927617274,12.476624473124017
117031645,Sydney (South) - Haymarket,-0.8367545813592197,-0.11829733793491376,5.56352495230367,4.155204508148445,0.0,0.0,0.9018939011594271,9.66557144231741
126011496,Pennant Hills - Cheltenham,0.7708647316079286,-0.11673992796676469,0.4683430335155668,0.4799696621355432,0.0,3.1615082730416324,3.9520695579975245,8.71601533033143
121041417,North Sydney - Lavender Bay,-0.32786789236242453,-0.11785274978934977,-0.016912387321395467,3.1563249970493854,0.0,0.18244058059978321,5.729313342111356,8.605445890287355
115021297,Dural - Kenthurst - Wisemans Ferry,6.333921490868348,-0.05777537502860006,1.1962261647710102,1.463993737317009,0.0,-0.4093852544014129,0.02390509157156846,8.550885855097924
115011291,Baulkham Hills (West) - Bella Vista,1.9505566015550444,-0.11711543512531729,0.22571532309708564,2.6548054804713916,0.5374090710828866,1.5974423497390067,-0.21913679343545123,6.629676597384646
102011030,Calga - Kulnura,0.26197804261113344,0.6394356999792772,0.7109707439340479,-0.07265255399897569,0.0,-1.4611684228438238,6.528313539071933,6.606877048753592
115011290,Baulkham Hills - East,1.5341947651031211,-0.11782150679806792,1.6814815856079723,0.46095470416102213,-0.1704043451121509,2.6730673432634626,0.17580626970095578,6.237278815926315
121011399,Chatswood (West) - Lane Cove North,0.7014710921992747,-0.11787528707106211,0.22571532309708564,0.2945738218839627,1.1862380359283375,2.2754574373598064,1.5216507079273274,6.0872311313247325
121031409,Pymble,1.5457603716712303,-0.11698861629320827,0.4683430335155668,0.651104283906233,1.48116029267627,0.1761108925249041,1.573297108491319,5.778787366492315
124011454,Springwood - Winmalee,3.3037325700237954,-0.10726824407797034,0.7109707439340479,0.09016302365786107,0.0,1.3077536255120394,0.2760610472663514,5.581412766316125
125041717,Parramatta - North,-1.0333698930170723,-0.11796814291149396,3.37987555853734,1.4063546459567422,0.0,2.0484326250741427,-0.2373649348109777,5.445959858828681
121021406,Normanhurst - Thornleigh - Westleigh,1.8349005358739547,-0.1171709293971649,0.7109707439340479,0.1911799878975043,0.0,0.6258352302450645,2.0715329727557092,5.317248541309116
121011684,Chatswood - East,-0.061858941295918006,-0.11822497225796232,2.894620137700378,2.448017812498475,0.0,0.0,0.06643742144779691,5.22899145809277
121031408,Lindfield - Roseville,2.0893438803723523,-0.11733025251871536,0.7109707439340479,0.9577204812453853,0.0,1.2549007300867991,0.30340325932964113,5.19900884244951
116011307,Lalor Park - Kings Langley,2.262827978893987,-0.11726370266954568,0.7109707439340479,0.914936825802713,0.0,1.0707068071078172,0.3550496598936328,5.197228312962652
121031410,St Ives,1.2334889943322878,-0.11617197745854031,0.4683430335155668,0.5786097566283713,0.8913157791804053,1.9903049895865026,0.06643742144779691,5.1123279972323905
102011032,Gosford - Springfield,2.378484044575077,-0.11529425914535116,0.7109707439340479,0.6505100664695291,0.0,1.3900395704854678,-0.052045497493125197,4.962664668825645
121021403,Asquith - Mount Colah,2.5288369299604936,-0.11352237439376309,0.22571532309708564,0.20484698894169132,-0.1704043451121509,1.156790564926173,1.096327409165043,4.928590496584572
123021437,Campbelltown - Woodbine,2.6097961759372565,-0.11666697482287512,1.6814815856079723,0.4989846201100643,-1.0551711153559478,0.6757342712353612,0.6011295684632403,4.8952881311750716
127031523,Chipping Norton - Moorebank,1.117832928651198,-0.11668166529256077,-0.016912387321395467,0.8947334329547842,0.0,0.8671018406992062,2.0320386664420687,4.778112816133301
116031319,Rooty Hill - Minchinbury,1.626719617647993,-0.1167361174986603,0.7109707439340479,0.16146911606231512,0.0,1.013528624831409,1.117593574103157,4.513545559080262
122031429,Freshwater - Brookvale,1.4301043059901404,-0.11765683858153267,1.1962261647710102,1.7765521090231995,0.0,0.41980388340774955,-0.210022722747688,4.495006901862879
115031300,Kurrajong Heights - Ebenezer,2.2859591920302047,-0.06592422003707052,1.1962261647710102,0.7657882491900632,0.0,0.5949252534794047,-0.33761971237637334,4.439354927057239
126021724,Ryde - North,0.8980864038571273,-0.1177759795339494,0.953598454352529,0.2933853870105551,0.24248681433495428,1.340773498302659,0.819867264969558,4.430421843293432
125021712,Carlingford - West,0.7130366987673836,-0.11784717217514068,-0.2595400977398766,0.3617203922314902,0.06553346028619492,3.2533942449286277,0.30340325932964113,4.31970078562832
125031481,Granville - Clyde,1.0368736826744351,-0.1179965814362133,-0.5021678081583577,0.9220674350431584,-0.7897410842828088,-0.22529682622367897,3.976373746498226,4.300112564114761
122011418,Balgowlah - Clontarf - Seaforth,1.5341947651031211,-0.11778580797920198,0.22571532309708564,0.7033954183361659,0.0,1.6739260806437959,0.24871883520306168,4.268164614404028
116021632,Schofields - East,0.14632197693004365,-0.11765464341024365,-0.5021678081583577,0.2345578607768805,0.0,4.779693029384475,-0.4773687962554097,4.063381619267389
118011649,Bellevue Hill,0.1116251572257167,-0.11803288385600437,-0.2595400977398766,0.5043325770403984,5.256165179049803,-1.0096506735024477,-0.4348364663791812,4.050062791838409
119031374,South Hurstville - Blakehurst,0.7361679119036016,-0.11785362102464736,0.7109707439340479,0.8002528605188827,0.0,1.152570772876254,0.6375858512142932,3.9196945194224324
